nom,description,logo,Date dernier financement,Série,LinkedIn,Type d'organisme,SIREN,Activité principale,market,valeur_entreprise,mots_cles_def,Effectif_def,site_web_def,adresse_def,date_creation_def,Nom,Prenom,Poste,Montant_def
+simple,"An insurance Robo-Broker for freelancers, small and medium businesses",https://storage.googleapis.com/dealroom-images-production/99/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS9kNjdmZjUwY2UyYmJlZDdmMTcyOTI4MGJhOWZhOTJkNQ==.png,,,,,Non disponible,,B2B,€60—90m,"commission, fintech, insurance, marketplace & ecommerce",50 à 99 salariés,,"Paris, France",2015-01-01,,,,116000000.0
03 july,"Nice and useful, what else? We at 03 July, we think about the apps you might need along the day. And by useful we mean intuitive, design and easy-to-use. We share a simple idea: apps that we use all the time should be the nicest ones.",https://storage.googleapis.com/dealroom-images-production/cb/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wNi8wMS85ODNkNTE3ZTk2Mjg4YTg1Yjk2ZmM4MWI0ZTE3NmEzMg==.png,,,,,Non disponible,,B2B,,"b2c, hosting, semiconductors",20 à 49 salariés,,"Paris, France",2012-01-01,,,,
10 vins,The first wine-by-the-glass connected sommelier that aerates and brings the wine in your bottles to the ideal serving temperature in less than a minute,https://storage.googleapis.com/dealroom-images-production/7a/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAxOC8wOS8wNC85MTJkOTI2MzI2YWRmMzkwZGI0MjA5MWJhMGQ3YjFkOA==.png,,,,,Non disponible,,B2B,€5—7m,"b2c, food, home living, in-store retail & restaurant tech, kitchen & cooking tech, manufacturing, marketplace & ecommerce, selling own inventory",1 ou 2 salariés,,"Nantes, France",,,,,2300000.0
1001 salles,Allowing to respond quickly and efficiently to any room search request,https://storage.googleapis.com/dealroom-images-production/da/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS9lMjRhY2NkNWVhNDI2MWIwMmQxMmU4YThhMDI1NzQ5NQ==.png,,,,,Non disponible,,,€16—24m,"marketplace & ecommerce, subscription, travel",20 à 49 salariés,,"Ivry-sur-Seine, France",2000-01-01,,,,4000000.0
1001maquettes,"Online retailer of plastic models of planes, trains, boats, and automobiles",https://storage.googleapis.com/dealroom-images-production/22/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xNy9lMjY5NjE1OWQyZWRmYTEyYjBhMzkyNjUyNzRmYmRkMA==.png,,,,,Non disponible,,,,home living,3 à 5 salariés,,"Paris, France",2011-01-01,,,,
17h10,Tailleurs et costumes à composer,https://storage.googleapis.com/dealroom-images-production/97/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wNS8zMS83MmY4NjYzZWFmMjYyNTUyNDU3MWFjYzY2YWZiYTRhOQ==.png,,,,,Non disponible,,B2C,,"fashion, manufacturing, selling own inventory",20 à 49 salariés,,"Paris, France",2018-01-01,,,,
1889 experience,Reinvent customer relations in luxury,https://storage.googleapis.com/dealroom-images-production/7c/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMy8yYmUzMjEyNjkyYjY3MmNlM2IwMTgwM2YzM2E0NGM2OQ==.png,,,,,Non disponible,,B2C,€2—3m,home living,20 à 49 salariés,,"Paris, France",,,,,500000.0
18h08,Lancez des campagnes d'influence performantes marketing créatives avec sens,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_carre_orange_blanc_agence_influence_18h08_0.png,,,,,Non disponible,,,,influence,,http://18h08.fr/?utm_source=LesPepitesTech.com,"Rue Antoine Bourdelle, Marseille",,,,,
1d lab,"Cooperative society of collective interest (SCIC) which intends, through digital services and resources, to strengthen the distribution and remuneration of independent creations",https://storage.googleapis.com/dealroom-images-production/03/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMy80ZmU2Y2I1MWZkOTIyZjEyYjg1YWJmMjZlNWU3ZTQ4OQ==.png,,,,,Non disponible,,B2B,€4—6m,"b2c, content production, media, saas, subscription",20 à 49 salariés,,"Saint-Étienne, France",2010-01-01,,,,1000000.0
1km à pied,Solution RH pour muter les employés qui le souhaitent sur un site plus près de chez eux. Ils sont 60% dans les grands groupes et dans les services publics à avoir un site plus près de chez eux. Vidéo ci-dessous :,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_reseaux_sociaux.png,,,,,Non disponible,,,,mobilité durable,,https://www.1kmapied.com/?utm_source=LesPepitesTech.com,"STATION F, Rue Eugène Freyssinet, Paris",,,,,
1to1 progress,,https://storage.googleapis.com/dealroom-images-production/6d/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xNS9mMWMxNGRmMWZlYTk0NDE1YTE2MDQ4ZDVkZGJkMDAyNw==.png,,,,,Non disponible,,,,"jobs recruitment, selling own inventory",50 à 99 salariés,,"Bihorel, France",2010-01-01,,,,
1to1progress,"Online learning management system for linguistic only, and it propose some innovative language training solutions",https://storage.googleapis.com/dealroom-images-production/c8/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMi8wNi8yMi8wOTkwMDdlNzAxYzgyZmU1ZWRhNmUzNzZiMDE4MjM0MQ==.png,,,,,Non disponible,,B2B,,education,50 à 99 salariés,,"Bihorel, France",2010-01-01,,,,
2d3d animations,French animation studio that was founded in 1999,https://storage.googleapis.com/dealroom-images-production/af/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xNy8wYjViNzgyZDcwYjNkOTNkOGEwOTA4YjkwNDQ2ZmEwNQ==.png,,,,,Non disponible,,B2B,,"content production, enterprise software, manufacturing, media, saas, subscription",20 à 49 salariés,,"Angoulême, France",1999-01-01,,,,
360 medics,Accompanies healthcare professionals in their quest for excellence in care by bringing together all the resources and tools useful for their daily practice,https://storage.googleapis.com/dealroom-images-production/ba/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNC8wOS8xOC82ZTk2YWVlN2ZmYzAxNmVjYzhlNTg3OGQ4NTIzODc1Ng==.png,,,,,Non disponible,,B2B,€40—60m,"health, health platform, mobile app, saas, subscription",20 à 49 salariés,,"Lyon, France",2013-01-01,,,,11000000.0
360&1,Offers an advertising management platform,https://storage.googleapis.com/dealroom-images-production/8a/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMy8wMTgxZDZlYzhlMzUzNDEwYmEyMGVmNTMwM2U5YzM5Ng==.png,,,,,Non disponible,,B2B,€4—7m,"adtech, enterprise software, marketing, saas, subscription",3 à 5 salariés,,"Nice, France",,,,,2400000.0
